Bayi Kodu,Ünvan,Bölge,Mıntıka,ADRES,İL,İLÇE
30071908,BONUS AKARYAKIT TAŞIMACILIK İNŞ.MADENCİL İK GIDA SAN.VE TİC.LTD.ŞTİ  .,AKDENIZ,Mersin,LİMONLU MAH. MİLLİ EGEMENLİK CAD. NO: 98-A,İçel,ERDEMLİ
30072614,KOÇPET TURİZM AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Kahramanmaraş,YIRMIIKIGÜN MAH. TURGUT ÖZAL BLV. NO: 10 A,K.Maraş,ONİKİŞUBAT
30072067,AKSERT PETROL VE ZİRAAT ÜRÜNLERİ ULUSLAR ARASI TAŞ. TUR. EML. GAL. GIDA ORM. ÜR. SAN. VE TİC.LTD.ŞTİ. .,AKDENIZ,Adana,CEYHAN YOLU 15. KM. KÜRKÇÜLER MEVKII,Adana,YÜREĞİR
30072510,ÖZKAYIK KARDEŞLER AKARYAKIT ÜRÜNLERİ SAN AYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Diyarbakır,KÖSELİ MAH. DİYARBAKIR BLV. KAYIK PETROL NO: 134,Diyarbakır,BİSMİL
30081462,VURAL PETROL TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Hatay,İSALI MAH. KURTULUŞ CADDESİ NO:87,Hatay,ERZİN
30072473,HOROZ KARDEŞLER PETROL ÜRÜNLERİ OTOMOTİV İNŞAAT NAKLİYAT TARIM HAYVAN.SAN.TİC.LTD .ŞTİ,GUNEYDOGU ANADOLU,Malatya,SÜTLÜCE MAH. SÜTLÜCE SK. NO: 1 /1,Malatya,YEŞİLYURT
30072390,RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENIZ,Mersin,KALE MAHALLESİ HOCA AHMET YESEVİ CADDESİ NO:1A TÖMÜK,İçel,ERDEMLİ
30072386,RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENIZ,Mersin,AKKENT MAHALLESİ 34. CADDESİ  NO:28,İçel,YENİŞEHİR
30072389,RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENIZ,Mersin,SAZBAŞI MAHALLESİ ALPARSLAN TÜRKEŞ BULVARI NO:381 ATAKENT,İçel,SİLİFKE
30072490,ARDAEREN SAĞLIK HİZMETLERİ SANAYİ VE TİC ARET LTD.ŞTİ  .,GUNEYDOGU ANADOLU,Malatya,RIZAIYE MAH. IZZETPASA CAD. NO: 20 IÇ KAPI NO: Z02,Elazığ,MERKEZ
30072709,MUT ŞOFÖRLER ODASI AKARYAKIT TİCARET LİM İTED ŞİRKE,AKDENIZ,Mersin,KÜLTÜR MAH. ATATÜRK BLV. NO: 188 IÇ KAPI NO: A,İçel,MUT
30072775,ALASKA AKARYAKIT NAKLİYE GIDA İNŞAAT  SANAYİ VE TİCARET LİMİTED ŞİRKETİ  .,AKDENIZ,Mersin,MENDERES MAHALLESİ GAZİ MUSTAFA KEMAL BULVARI NO: 769,İçel,MEZİTLİ
30088653,DUMAN PETROL NAK. SAN. VE TİC. A.Ş.,AKDENIZ,Mersin,KEMALPAŞA MAHALLESI ANKARA BULVARI NO:185/A,İçel,TARSUS
30081097,PETİL PETROL EN.TUR.İNŞ.LOJ.TAAH.SAN. VE TİC.LTD.ŞTİ,GUNEYDOGU ANADOLU,Kahramanmaraş,İSTASYON MAHALLESI ADANA ASFALTI CADDESI NO:28/A,K.Maraş,TÜRKOĞLU
30085463,UĞUR PETROLCÜLÜK VE NAKLİYE SANAYİ TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Malatya,"KELMAHMUT KÖYÜ , GÜLMAHMUT MEVKİİ NO:77",Elazığ,MERKEZ
30081699,KELCE AKARYAKIT ZİRAİ VE TEKSTİL ÜRÜNLERELEK.SAN.VE TİC.A.Ş.,GUNEYDOGU ANADOLU,Hatay,KICI KÖYÜ,Hatay,BELEN
30082038,TOYMAR OTOMOTİV PETROL TİC.VE PAZARLAMA. A.Ş.,GUNEYDOGU ANADOLU,Kahramanmaraş,YENİŞEHİR MAHALLESİ ÇEVRE YOLU ÜZERİ MİGROS YANI,K.Maraş,MERKEZ
30084326,AKRA OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKDENIZ,Mersin,ZEKİ AYAN MAHALLESİ HÜSEYİN OKAN MERZECİ BULVARI NO:326 A,İçel,TOROSLAR
30084571,DİCLE GRUP GIDA PET.İNŞ.NAK MAD.SAN.VE TİC.LTD.ŞTİ.,GUNEYDOGU ANADOLU,Diyarbakır,BAĞCILAR MAHALLESI URFA BULVARI NO:297 BAĞLAR,Diyarbakır,BAĞLAR
30084738,NİRVANA AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Gaziantep,AYDINLAR MAHALLESI DURDU YETKIN ŞEKERCI CADDESI NO:3/1,Gaziantep,ŞEHİTKAMİL
30084872,MMC ÇELEBİ TURİZM AKARYAKIT İNŞAAT TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Gaziantep,ASLANLI MAHALLESI ASLANLI SOKAĞI NO:22,Şanlıurfa,HİLVAN
30084634,AKTÜRKLER YEMEKÇİLİK TEMİZLİK İNŞAAT YAPI TAAHHÜT KÖMÜR ALIM SATIM DEPOLAMA HAYVANCILIK SANAYİ TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Kahramanmaraş,ŞEHİT MUSTAFA YAĞIZ MAHALLESİ ARSLANTAŞ CAD.NO:3,Osmaniye,KADİRLİ
30086051,DURGÜN PETROL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Kahramanmaraş,MENDERES MAH. 9001 SOKAK NO: 2,Adıyaman,KAHTA
30088039,ÜSTBİRLİK AKARYAKIT İNŞAAT TURİZM OTOM. TAŞ. YEMEKÇİLİK GIDA REKLAM EMLAK SANAYİ TİCARET LİMİTED ŞİRKETİ,AKDENIZ,Adana,TURHAN CEMAL BERIKER BULVARI NO:513,Adana,SEYHAN
30088200,YAPRAK PETROL TARIM ÜRÜNLERİ GÜBRE NAK. TEKSTİL GIDA İNŞAAT TURİZM SANAYİ VE TİCARET LTD.ŞTİ.,GUNEYDOGU ANADOLU,Gaziantep,ÖZAL MAH. E 90 2 CAD. YAPRAK PET TARM ÜRN NO:1020,Şanlıurfa,VİRANŞEHİR
